#Overworld
  #Diameter	302632			
  #Basisvektor	x	z		
  #origin		0	0		
  #e1		302632	0		
  #e2		151316	262087		
#Nether
  #Diameter	37829			
  #Basisvektor	x	z		
  #origin		0	0		
  #e1		37829	0		
  #e2		18915	32761		
#Region	e1	e2	xo	zo	xn	zn
0	0	0	0	0	0	0
1	1	0	302632	0	37829	0
2	0	1	151316	262087	18915	32761
3	-1	1	-151316	262087	-18915	32761
4	-1	0	-302632	0	-37829	0
5	0	-1	-151316	-262087	-18915	-32761
6	1	-1	151316	-262087	18915	-32761
7	2	0	605264	0	75658	0
8	1	1	453948	262087	56744	32761
9	0	2	302632	524174	37829	65522
10	-1	2	0	524174	0	65522
11	-2	2	-302632	524174	-37829	65522
12	-2	1	-453948	262087	-56744	32761
13	-2	0	-605264	0	-75658	0
14	-1	-1	-453948	-262087	-56744	-32761
15	0	-2	-302632	-524174	-37829	-65522
16	1	-2	0	-524174	0	-65522
17	2	-2	302632	-524174	37829	-65522
18	2	-1	453948	-262087	56744	-32761
